MESSAGE_IDR,CREATION_TMP,TRANSACTION_REFERENCE_NUM,FPS_IDR,SETTLEMENT_AMT,SETTLEMENT_CURRENCY_CDE,PAYMENT_REQUEST_SENT_DTE,BENEFICIARY_CR_INST_SRT_CDE,BENEFICIARY_CUS_ACC_NUM,BENEFICIARY_CUS_ACC_NME,ORIGINATING_CR_INST_SRT_CDE,ORIGINATING_CUS_ACC_NUM,ORIGINATING_CUS_ACC_NME,BENEF_CUS_ACC_ADDNL_IDENT_REF,PAYMENT_TYPE_CDE,CREDIT_PAYMENT_METHOD_VAL,DEBIT_PAYMENT_METHOD_VAL,MESSAGE_STATUS_CDE,MESSAGE_DIRECTION_CDE,SUBMITTING_MEMBER_BANK_CDE,RECEIVING_MEMBER_BANK_CDE,SETTLEMENT_DTE,ORIGINATING_SYSTEM_CDE
RPS FPS 83198421312325,5-2-2018 00:00:00,RP9925304647847100,RP46949163428545410529886401699171891,492.00,GBP,5-2-2018,563817,47649222,MACUMBAWEAK,644025,39673316,Pearline Cord,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,5-2-2018,812
RPS FPS 63249467255746,13-8-2018 00:00:00,RP9123376054359600,RP46983862146268668571081028819003855,347.00,GBP,13-8-2018,872077,47655222,MAGWEAK,779530,45872313,Bunni Clulee,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,13-8-2018,812
RPS FPS 32467995346032,11-7-2018 00:00:00,RP7807916783507350,RP46872541268127704070686839728892472,66.00,GBP,11-7-2018,465841,47668222,MAGEWEAK,388964,70554467,Andros Deneve,INVOICES 22 +129,10,FPS,BOOK,COMPLETE,O,934,11,11-7-2018,603
RPS FPS 33711688831654,19-6-2018 00:00:00,RP8622929344821300,RP46870262721539351086379470238816501,884.00,GBP,19-6-2018,581008,47709222,MAGGWEAK,699509,48495689,Kaia Comfort,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,19-6-2018,612
RPS FPS 48725802601293,5-11-2018 00:00:00,RP7756884766404700,RP46894471871551750088783285089276548,107.00,GBP,5-11-2018,856756,47717222,MAHMUD,746653,52192918,Lotty Shercliff,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,5-11-2018,612
RPS FPS 81976900314681,12-3-2018 00:00:00,RP6528982741685230,RP46830622729931568284382176369008953,167.00,GBP,12-3-2018,561656,47719222,MAJOR,730693,76267345,Yancy Pirrey,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,12-3-2018,812
RPS FPS 63493866108887,11-8-2018 00:00:00,RP4109208161240370,RP46924701887590508904779875669140031,305.00,GBP,11-8-2018,331990,47722222,MAKABURISTRONG,377352,45365796,Damon Oppy,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,11-8-2018,812
RPS FPS 45604223565014,18-12-2018 00:00:00,RP9794776024509480,RP46944102912769389389389724308921384,10.00,GBP,18-12-2018,274498,47723222,MALIK,522476,54989560,Annecorinne Hamberstone,INVOICES 22 +130,10,FPS,BOOK,COMPLETE,O,934,11,18-12-2018,603
RPS FPS 96902065209488,9-7-2018 00:00:00,RP1589376015207760,RP46866521919102405669576536288750911,677.00,GBP,9-7-2018,851881,47730222,MANERAWEAK,577553,37432703,Kippy Rewcastle,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,9-7-2018,612
RPS FPS 80607882827074,10-2-2018 00:00:00,RP1803445163440470,RP46944301186397706241881645098784725,477.00,GBP,10-2-2018,790826,47732222,MANEX,769116,51917031,Francesco Van Der Weedenburg,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,10-2-2018,612
RPS FPS 88118978572057,20-12-2018 00:00:00,RP3865038390582170,RP46948101408250670405490241648916879,629.00,GBP,20-12-2018,489538,47789222,MANOLOWEAK,505026,35245920,Betty Campa,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,20-12-2018,812
RPS FPS 82795968462340,8-8-2018 00:00:00,RP4117221774381660,RP46858171678679576130490567849148849,844.00,GBP,8-8-2018,301941,47818222,MANUELWEAK,593710,78121161,Georgianne Furphy,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,8-8-2018,812
RPS FPS 46255018513232,19-12-2018 00:00:00,RP8436267094217730,RP46976102452028624366177376289323256,833.00,GBP,19-12-2018,833209,47867222,MARIAWEAK,530422,67693134,Dionisio Balhatchet,INVOICES 22 +130,10,FPS,BOOK,COMPLETE,O,934,11,19-12-2018,603
RPS FPS 53868516712433,6-2-2018 00:00:00,RP6068100060000910,RP46975041134898469016289517819220686,858.00,GBP,6-2-2018,806758,47908222,MARITZAWEAK,542996,51694820,Damon Targe,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,6-2-2018,612
RPS FPS 34938522874424,12-2-2018 00:00:00,RP4251855046863100,RP46952283252099699201787702598947999,442.00,GBP,12-2-2018,723419,47916222,MARTINWEAK,704025,47505086,Jamie Simmell,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,12-2-2018,612
RPS FPS 88549575946942,23-11-2018 00:00:00,RP9255780763832500,RP46828742932495398742481618688804203,880.00,GBP,23-11-2018,587214,47920222,MARUCHAWEAK,331524,85260683,Lana Joules,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,23-11-2018,812
RPS FPS 76907563645245,5-7-2018 00:00:00,RP7231395057609970,RP46813303133156358996088374188946489,506.00,GBP,5-7-2018,842952,47943222,MATEWEAK,588970,36944863,Ulric Balnaves,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,5-7-2018,812
RPS FPS 47908855145056,27-7-2018 00:00:00,RP7128308635541050,RP46917162067617514273692235958844777,409.00,GBP,27-7-2018,527259,47952222,MATEOWEAK,562625,38380818,Thomas Dysart,INVOICES 22 +131,10,FPS,BOOK,COMPLETE,O,934,11,27-7-2018,603
RPS FPS 32150473475154,24-10-2018 00:00:00,RP5871104091689820,RP46817232212811733093577379489299469,119.00,GBP,24-10-2018,814408,47953222,MULLAHMATIULLAH,847605,53793078,Gibby Vickress,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,24-10-2018,612
RPS FPS 66875735942183,15-4-2018 00:00:00,RP9672575899457540,RP46901061266992519213991392669192510,548.00,GBP,15-4-2018,702247,47964222,MAUROWEAK,687245,61005664,Staci Von Hindenburg,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,15-4-2018,612
RPS FPS 23101311533374,3-7-2018 00:00:00,RP9632048531831030,RP46930661573063499036681116829075918,121.00,GBP,3-7-2018,506142,47967222,MCKHALIFWEAK,560367,69535045,Briny Quene,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,3-7-2018,812
RPS FPS 31996330688729,25-11-2018 00:00:00,RP8305193054591200,RP46906341618229358562678294648851064,531.00,GBP,25-11-2018,699525,47969222,MECHASWEAK,433957,39269251,Salome Matura,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,25-11-2018,812
RPS FPS 70562624864602,7-9-2018 00:00:00,RP6431278675669010,RP46879872273309671720991176798964505,512.00,GBP,7-9-2018,620095,47978222,MEGATEOWEAK,401361,38228530,Sawyere McVeigh,INVOICES 22 +131,10,FPS,BOOK,COMPLETE,O,934,11,7-9-2018,603
RPS FPS 53891848149548,10-2-2018 00:00:00,RP6165764456039870,RP46900262130489502092292602658902402,103.00,GBP,10-2-2018,420665,47981222,MEKELEWEAK,561861,71410633,Theressa Caddens,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,10-2-2018,612
RPS FPS 64655699933195,27-12-2018 00:00:00,RP4205095790233750,RP46970942318497652746489445098814097,870.00,GBP,27-12-2018,473072,47990222,MEKELLEWEAK,509676,84687144,Rutledge Readman,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,27-12-2018,612
RPS FPS 45163696188057,18-5-2018 00:00:00,RP4023763228370220,RP46860651633947410249490786858910093,565.00,GBP,18-5-2018,741162,47993222,MENCHOWEAK,522460,69927495,Cate Lindfors,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,18-5-2018,812
RPS FPS 78947304177016,9-8-2018 00:00:00,RP8870388950518930,RP46801552478572734613989270348807331,102.00,GBP,9-8-2018,679467,48028222,MEQELEWEAK,492435,47797773,Freddy Blanchard,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,9-8-2018,812
RPS FPS 26697662439601,5-1-2018 00:00:00,RP4733421819911750,RP46875831578921531062282260679138586,125.00,GBP,5-1-2018,235106,48084222,MERA'IWEAK,500807,62120598,Aldus Lorking,INVOICES 22 +132,10,FPS,BOOK,COMPLETE,O,934,11,5-1-2018,603
RPS FPS 94188550995774,12-12-2018 00:00:00,RP2727223640306700,RP46821301522053601102583987859087198,925.00,GBP,12-12-2018,757436,48094222,MERA?I,240642,57518250,Giorgia Washbrook,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,12-12-2018,612
RPS FPS 70103207191682,10-6-2018 00:00:00,RP9675562987220950,RP46992691897744418206587275368816386,992.00,GBP,10-6-2018,493480,48119222,MERLIN,634066,83279466,Kurtis Renner,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,10-6-2018,612
RPS FPS 75918920483008,22-2-2018 00:00:00,RP5785462365515870,RP46817643350953408118192822089021665,222.00,GBP,22-2-2018,257011,48139222,MERYWEAK,479812,56369258,Teri Grigor,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,22-2-2018,812
RPS FPS 62706323110007,21-7-2018 00:00:00,RP9475642441885180,RP46835392219289679913880236108963072,734.00,GBP,21-7-2018,620338,48159222,MIGHTY,745996,69653789,Bronnie Prettyjohns,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,21-7-2018,812
RPS FPS 22712656927335,6-12-2018 00:00:00,RP2422829224003230,RP46993343118855732008280825709182526,64.00,GBP,6-12-2018,475806,48182222,MIKEWEAK,720003,70409798,Emanuele Mayhead,INVOICES 22 +132,10,FPS,BOOK,COMPLETE,O,934,11,6-12-2018,603
RPS FPS 94650920841626,20-5-2018 00:00:00,RP5351793509510320,RP46946111341901357341278477028932458,659.00,GBP,20-5-2018,545287,48191222,MILCIADESWEAK,260238,50452072,Arvin Plews,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-5-2018,612
RPS FPS 54483917501171,27-2-2018 00:00:00,RP5652324998809890,RP46874831408044683419778650388885545,969.00,GBP,27-2-2018,860604,48236222,MINCHOWEAK,352455,62102249,Garth Ramm,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,27-2-2018,612
RPS FPS 20019810921286,24-12-2018 00:00:00,RP8179896627892660,RP46825661542352657591792580099005069,508.00,GBP,24-12-2018,726482,48261222,MINEURWEAK,709236,60080486,Shell Ivery,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,24-12-2018,812
RPS FPS 21207921522765,16-2-2018 00:00:00,RP9563942179197540,RP46904742473540532386779707109340080,11.00,GBP,16-2-2018,504930,48295222,MOATASSAM,811213,41841870,Georgeanne Houchen,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,16-2-2018,812
RPS FPS 58854213869149,14-12-2018 00:00:00,RP9146885093196010,RP46860873058332398748586732599041973,250.00,GBP,14-12-2018,288375,48297222,MODELOWEAK,508117,67933379,Cordell Haseldine,INVOICES 22 +133,10,FPS,BOOK,COMPLETE,O,934,11,14-12-2018,603
RPS FPS 19121771395391,24-4-2018 00:00:00,RP5412385289065390,RP46992092276447454280084131099312871,258.00,GBP,24-4-2018,858712,48313222,MOHAMMAD WALI,394425,74408620,Ker Hartzogs,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,24-4-2018,612
RPS FPS 21761954274860,1-1-2018 00:00:00,RP2279307368761660,RP46863811203777652524987810049139177,701.00,GBP,1-1-2018,818576,48345222,MAULAVIMOHAMMAD YAQOUB,274700,69746949,Bondy Piatto,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,1-1-2018,612
RPS FPS 84214418934000,22-8-2018 00:00:00,RP7705351979826430,RP46943123153142661895781923458896702,543.00,GBP,22-8-2018,677357,48352222,MOHAMMAD,313088,58195906,Adam Crisall,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,22-8-2018,812
RPS FPS 99653524840641,26-4-2018 00:00:00,RP1153183632808980,RP46822742550727349612680516609321434,515.00,GBP,26-4-2018,634750,48365222,MOMOWEAK,618470,74039173,Leta Elleton,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,26-4-2018,812
RPS FPS 17341418094104,11-1-2018 00:00:00,RP2516819175088150,RP46992762930171561593884078769257286,186.00,GBP,11-1-2018,470004,48375222,MONSTRWEAK,503403,34650193,Blane Callaby,INVOICES 22 +133,10,FPS,BOOK,COMPLETE,O,934,11,11-1-2018,603
RPS FPS 50461244373420,16-11-2018 00:00:00,RP3856874256931850,RP46886101696515707058282746368955471,80.00,GBP,16-11-2018,536105,48383222,MOOTASEMWEAK,269982,49437266,Lucky Sims,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,16-11-2018,612
RPS FPS 34832322226136,14-5-2018 00:00:00,RP3478750068691510,RP46969403010910620003180471048766740,989.00,GBP,14-5-2018,254971,48448222,MOSCOWEAK,768182,62215177,Leanor Raulin,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,14-5-2018,612
RPS FPS 71677068409604,21-12-2018 00:00:00,RP3443795029100870,RP46920051169220595702992326269274153,889.00,GBP,21-12-2018,549092,48486222,MOUSTAFAWEAK,443429,55012776,Yvor Gawne,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,21-12-2018,812
RPS FPS 27441730048842,18-6-2018 00:00:00,RP8223168889793210,RP46921921386238721767682009708896110,488.00,GBP,18-6-2018,649579,48507222,MPANO,656213,34630806,Alexandra Rulten,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,18-6-2018,812
RPS FPS 86367463524095,16-11-2018 00:00:00,RP2660831976804500,RP46851452313975486573186767759106158,500.00,GBP,16-11-2018,630854,48542222,MRMAGISTERWEAK,277647,69382230,Ikey Honig,INVOICES 22 +134,10,FPS,BOOK,COMPLETE,O,934,11,16-11-2018,603
RPS FPS 58850375635667,5-1-2018 00:00:00,RP8551581144490630,RP46871402635811560318588523108953644,67.00,GBP,5-1-2018,252056,48548222,MUATASIMBLLAH,577002,35558102,Augustin McRitchie,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,5-1-2018,612
RPS FPS 50019217900579,13-3-2018 00:00:00,RP8770759548711610,RP46820391360261640649278250558846467,368.00,GBP,13-3-2018,397517,48559222,MUATASMBLLA,489913,66224379,Queenie Bellworthy,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,13-3-2018,612
RPS FPS 86744189788133,18-4-2018 00:00:00,RP3075091817707070,RP46836691371728492097184701259329981,94.00,GBP,18-4-2018,437676,48583222,MUAZWEAK,586164,72330168,Amberly Rait,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,18-4-2018,812
RPS FPS 63493023911146,20-6-2018 00:00:00,RP9770987786679900,RP46988042869044712456584375758829463,297.00,GBP,20-6-2018,732744,48589222,MUBAROK,601472,83049147,Terese Munroe,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,20-6-2018,812
RPS FPS 97241947495474,8-4-2018 00:00:00,RP6184281330520460,RP46921321766260646050389772438888335,725.00,GBP,8-4-2018,856340,48651222,MUCCHAD,439373,75906156,Lishe Fuxman,INVOICES 22 +134,10,FPS,BOOK,COMPLETE,O,934,11,8-4-2018,603
RPS FPS 14536956175812,5-2-2018 00:00:00,RP6136368210706100,RP46884342986884558602690815989144044,756.00,GBP,5-2-2018,768977,48703222,GENERALMUDACUMURA,853554,80737213,Selie Newham,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,5-2-2018,612
RPS FPS 73995124739288,4-8-2018 00:00:00,RP6733773869521320,RP46951112569122654058386197629077807,202.00,GBP,4-8-2018,826368,48714222,MUHAMADMUHTAR,517193,40836874,Kattie Kembry,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,4-8-2018,612
RPS FPS 52990476350451,21-7-2018 00:00:00,RP1938978966062220,RP46859591780551694580584100588936200,975.00,GBP,21-7-2018,814782,48715222,MUHARIBWEAK,413593,34776763,Arielle Swire,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,21-7-2018,812
RPS FPS 44207389986419,11-4-2018 00:00:00,RP9820418879500490,RP46893871422600365005979341229305269,367.00,GBP,11-4-2018,546660,48720222,MUHELISI,379216,83888467,Dalenna Halgarth,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,11-4-2018,812
RPS FPS 17101515861571,21-10-2018 00:00:00,RP5474670784664760,RP46876612345073499493781425089095390,671.00,GBP,21-10-2018,538657,48729222,MUKANDAWEAK,249200,83706875,Sergent Winser,INVOICES 22 +135,10,FPS,BOOK,COMPLETE,O,934,11,21-10-2018,603
RPS FPS 33112645097351,20-1-2018 00:00:00,RP8379811417422440,RP46918552226487731269286297669336190,185.00,GBP,20-1-2018,730957,48744222,SHAYKHMUKHTAR,334746,38319596,Annamaria Dikels,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-1-2018,612
RPS FPS 49744906335441,19-3-2018 00:00:00,RP1637581925397950,RP46809331443695626825378925019117592,66.00,GBP,19-3-2018,822115,48746222,MUNEWEAK,505255,59729692,Cointon Gullam,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,19-3-2018,612
RPS FPS 10745763759731,24-9-2018 00:00:00,RP3724100377198020,RP46864432811306573881690414678756513,96.00,GBP,24-9-2018,768695,48776222,MUNECAWEAK,324975,51100811,Kristien Espin,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,24-9-2018,812
RPS FPS 61570365298359,20-2-2018 00:00:00,RP7777084326694920,RP46845422026132480414981210719065392,429.00,GBP,20-2-2018,490997,48813222,GENERAL MAJORMUPENZI,394246,36631060,Lizzie Bille,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,20-2-2018,812
RPS FPS 58765027385335,15-11-2018 00:00:00,RP2975705371627390,RP46883861896945760230978171679019133,638.00,GBP,15-11-2018,633450,48831222,MURSHID,741920,77025775,Daryl Sponer,INVOICES 22 +135,10,FPS,BOOK,COMPLETE,O,934,11,15-11-2018,603
RPS FPS 88204199815149,7-5-2018 00:00:00,RP9233688958654010,RP46805802076628591027183133939277288,218.00,GBP,7-5-2018,430836,48847222,MUSENYERI,352315,43722040,Jase Verriour,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,7-5-2018,612
RPS FPS 62093521228814,2-7-2018 00:00:00,RP6328055148285450,RP46850982788868697507878928028895562,692.00,GBP,2-7-2018,307171,48870222,PROFESSORMUSHARAF,635159,38695320,Saxe Clewer,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,2-7-2018,612
RPS FPS 10761931853332,17-12-2018 00:00:00,RP4972773359130960,RP46994262642259361216590417049156433,885.00,GBP,17-12-2018,432168,48875222,QARIMUSHTAQ,399628,85044639,Haskell Kienle,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,17-12-2018,812
RPS FPS 21931651641038,4-1-2018 00:00:00,RP1080957008376000,RP46911032006350507779284728139048375,289.00,GBP,4-1-2018,613982,48887222,MUSLIM,631964,61136538,Ashly Brodest,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,4-1-2018,812
RPS FPS 88993239686810,17-9-2018 00:00:00,RP7495725956698250,RP46815493200726552794778972978911194,809.00,GBP,17-9-2018,532825,48904222,MUSSEWEAK,365043,77866001,Kara Croom,INVOICES 22 +136,10,FPS,BOOK,COMPLETE,O,934,11,17-9-2018,603
RPS FPS 19893895276639,20-3-2018 00:00:00,RP3913960291747050,RP46888902710203589745789483768896492,852.00,GBP,20-3-2018,396467,48925222,MUSTAFA,786288,37066465,Sibyl Merton,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,20-3-2018,612
RPS FPS 72634647443829,7-9-2018 00:00:00,RP5466934050969830,RP46884412753818467670081260609064266,238.00,GBP,7-9-2018,780185,48958222,MUSTAQWEAK,429185,63935086,Flem Kondrat,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,7-9-2018,612
RPS FPS 49092171104645,11-1-2018 00:00:00,RP7572898656869210,RP46981051537172611219393213518948671,930.00,GBP,11-1-2018,560919,48963222,COLONELMUTEBUTSI,597127,47014932,Myranda Copyn,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,11-1-2018,812
RPS FPS 15021724214085,23-4-2018 00:00:00,RP3969784873660750,RP46939893224124725050693190109238540,874.00,GBP,23-4-2018,871761,48991222,N'KRUMAH,388169,53206874,Fae Ollet,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,23-4-2018,812
RPS FPS 50306100291377,15-11-2018 00:00:00,RP2020362177908370,RP46864842284495541615682599308785091,808.00,GBP,15-11-2018,289091,48992222,NADRA,747484,36129963,Abbe Maccaddie,INVOICES 22 +136,10,FPS,BOOK,COMPLETE,O,934,11,15-11-2018,603
RPS FPS 13908502352648,3-6-2018 00:00:00,RP5140326356015840,RP46875293305268697107177087079181416,336.00,GBP,3-6-2018,806051,49011222,MULLAHNAEEM,436956,43787519,Brigitte Rollinson,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,3-6-2018,612
RPS FPS 33643949595834,24-10-2018 00:00:00,RP2083600704035770,RP46813022672662442784379099069324108,902.00,GBP,24-10-2018,253389,49019222,NAIDAWEAK,269412,49799363,Boyce Cristofvao,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,24-10-2018,612
RPS FPS 28297459039076,7-7-2018 00:00:00,RP5042342297255010,RP46804423315729592286984926839278581,876.00,GBP,7-7-2018,781927,49069222,MULLAHNAIMULLAH,552618,71021965,Ambrose Dendon,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,7-7-2018,812
RPS FPS 15727357396115,13-11-2018 00:00:00,RP6874116818834780,RP46955152182678653385876730548810518,301.00,GBP,13-11-2018,679631,49099222,NAJEEBEN,546117,63320017,Elberta Yexley,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,13-11-2018,812
RPS FPS 31243121891362,7-5-2018 00:00:00,RP9103981915392730,RP46958692058175394525685173088969040,180.00,GBP,7-5-2018,572879,49113222,NAMAM,760123,50608735,Shelton Kigelman,INVOICES 22 +137,10,FPS,BOOK,COMPLETE,O,934,11,7-5-2018,603
RPS FPS 42773889607135,19-12-2018 00:00:00,RP7240573893355280,RP46995493400210689899092849948810752,309.00,GBP,19-12-2018,486457,49164222,NANGIALI,473277,76379647,Augie Plaxton,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,19-12-2018,612
RPS FPS 33804783731446,21-8-2018 00:00:00,RP9224650360550760,RP46971921849780364142190788519248207,38.00,GBP,21-8-2018,826837,49175222,NASERUDDIN,352667,74376972,Ronnie Lazonby,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,21-8-2018,612
RPS FPS 60731928524402,25-7-2018 00:00:00,RP1925312830172030,RP46940333249455432702376433959144462,838.00,GBP,25-7-2018,666739,49214222,NASIBULLAHWEAK,354432,58229748,Ryan Abrahamoff,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,25-7-2018,812
RPS FPS 78670538918766,23-5-2018 00:00:00,RP9689210635859360,RP46812832964291354161785647239036935,567.00,GBP,23-5-2018,784288,49232222,MULLAHNASIR,607455,37945679,Zora Abry,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,23-5-2018,812
RPS FPS 20703794040536,19-5-2018 00:00:00,RP7114172765027170,RP46827143449809514490590785249150648,381.00,GBP,19-5-2018,836695,49237222,NATILLAWEAK,809427,41171311,Teirtza Drewet,INVOICES 22 +137,10,FPS,BOOK,COMPLETE,O,934,11,19-5-2018,603
RPS FPS 47529890380087,3-6-2018 00:00:00,RP7340529633983850,RP46928732262496469683892039629327625,784.00,GBP,3-6-2018,298044,49243222,MAJOR GENERALNAZIH,468432,48811453,Rozanne Ewins,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,3-6-2018,612
RPS FPS 43072584802623,5-5-2018 00:00:00,RP7647830871103470,RP46828941474825565398378695779043338,19.00,GBP,5-5-2018,792188,49248222,NDAKUGARIKA,833950,39613983,Tanner Human,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,5-5-2018,612
RPS FPS 49761020127270,27-2-2018 00:00:00,RP8722496556902940,RP46804343083159349691490660019312664,250.00,GBP,27-2-2018,460808,49287222,NDJABU,632123,64209954,Sven Slimings,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,27-2-2018,812
RPS FPS 91999071753867,27-9-2018 00:00:00,RP1421003746382380,RP46905443283292700941292579068976875,765.00,GBP,27-9-2018,424165,49288222,NEGROWEAK,481197,64691743,Marline Dielhenn,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-9-2018,812
RPS FPS 75956956056599,18-6-2018 00:00:00,RP4466149320844460,RP46812102895176379122480723549323961,249.00,GBP,18-6-2018,466842,49298222,NENEWEAK,260449,36433430,Debby Cawthra,INVOICES 22 +138,10,FPS,BOOK,COMPLETE,O,934,11,18-6-2018,603
RPS FPS 43469641073653,27-6-2018 00:00:00,RP6485880156093000,RP46889401290269629498581765988931141,68.00,GBP,27-6-2018,240591,49324222,NGAKOSSET,350602,69082216,Beverley Salman,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,27-6-2018,612
RPS FPS 22652221795784,12-11-2018 00:00:00,RP1807882857286490,RP46898512032355734098783431679100792,716.00,GBP,12-11-2018,389553,49362222,NICAWEAK,273412,57482865,Hugibert Aubin,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,12-11-2018,612
RPS FPS 97505414396130,6-7-2018 00:00:00,RP1714157451748120,RP46806462224852609950776422898806674,292.00,GBP,6-7-2018,744461,49364222,NICOWEAK,407138,78147522,Lutero Bellam,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,6-7-2018,812
RPS FPS 12863799099123,17-12-2018 00:00:00,RP2558209920158470,RP46882252108826590364891112449291162,680.00,GBP,17-12-2018,834449,49377222,NICOLASWEAK,582245,59056403,Horton Coldridge,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,17-12-2018,812
RPS FPS 49919387537434,10-4-2018 00:00:00,RP5336382351376420,RP46938122641788564152679680808804680,107.00,GBP,10-4-2018,510020,49423222,NICOLINOWEAK,869219,42638979,Maynord Bussetti,INVOICES 22 +138,10,FPS,BOOK,COMPLETE,O,934,11,10-4-2018,603
RPS FPS 95536676494527,26-6-2018 00:00:00,RP2879215522952240,RP46990661447609407354881964708906519,860.00,GBP,26-6-2018,632213,49433222,NIK MOHAMMAD,527460,41419917,Lynda Cason,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,26-6-2018,612
RPS FPS 34431712853676,9-11-2018 00:00:00,RP5810872126456600,RP46825573100002555018389343258918885,140.00,GBP,9-11-2018,587561,49438222,NITR0JEN26WEAK,411147,42613498,Cortie Yeandel,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,9-11-2018,612
RPS FPS 52294102917141,23-10-2018 00:00:00,RP5816212272569750,RP46982692217688500711090043549054327,529.00,GBP,23-10-2018,730494,49447222,NITR0JENWEAK,541717,69470297,Corey Grigore,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,23-10-2018,812
RPS FPS 19250044002292,27-1-2018 00:00:00,RP3701808497213520,RP46989921779181649268682071209042120,251.00,GBP,27-1-2018,758019,49448222,GENERALNKUNDASTRONG,443383,44479312,Arny Pakeman,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-1-2018,812
