QMS Case Ref,FPS Ref,Customer Details,Bank Type,Payment Type,Error Type,Reason for Claim,ReasonForClaimOther,Case Status,Creation Date,Inquiry Amount
QMS863299-392667,RP5986127110087821,Briant Poundsford,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,17-10-2018,478
QMS980738-442036,RP7722617165951791,Morgun Frotton,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,18-10-2018,870
QMS318319-353599,RP1431272530296281,Ethel Qusklay,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,19-10-2018,559
QMS398747-637093,RP4662210248634691,Wilden Treher,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,20-10-2018,949
QMS786747-236980,RP2919301648457241,Kass Hutchinges,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,21-10-2018,342
QMS180016-556665,RP8787643546438811,Laure Flagg,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,22-10-2018,373
QMS640182-457518,RP5452007384220301,Bibbie Duxbury,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,23-10-2018,540
QMS178489-460428,RP6263229301847741,Jess Girardet,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,24-10-2018,56
QMS509256-635348,RP4832341757649771,Rickie Fairholme,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,25-10-2018,677
QMS436811-829552,RP6889848413123121,Marni Kelinge,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,26-10-2018,669
QMS547710-862062,RP4267336954694411,Tandy Schoenfisch,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,27-10-2018,87
QMS849011-185347,RP9783576497729591,Barnabas Jessope,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,28-10-2018,990
QMS108201-208459,RP5948790883863191,Cara Oxbury,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,29-10-2018,289
QMS524880-344227,RP1274344237662271,Rudy Linkie,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,30-10-2018,117
QMS160718-568811,RP6711555258932671,Valeria Goody,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,31-10-2018,216
QMS708481-699460,RP4033919315316491,Garvin MacGiolla Pheadair,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,01-11-2018,644
QMS146669-653825,RP2073003310044131,Carrol Sonley,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,02-11-2018,310
QMS354277-190283,RP1762653178175301,Stesha Kain,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,03-11-2018,887
QMS113997-904667,RP3406103827334591,Tracee Vernay,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,04-11-2018,679
QMS892330-587217,RP3123050794122431,Carey Biddell,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,05-11-2018,387
QMS609917-405864,RP9022450034318841,Skye Logsdail,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,06-11-2018,856
QMS694970-188157,RP7618332084858011,Tomlin McDuffy,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,07-11-2018,778
QMS515913-830232,RP1488098696932921,Taddeusz McMonies,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,08-11-2018,492
QMS923529-772825,RP1669641659294541,Frances Eslie,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,09-11-2018,340
QMS839827-275521,RP3089746138708231,Hillie Ridhole,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,10-11-2018,29
QMS449100-828730,RP2210131504194251,Stefan Swigger,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,11-11-2018,55
QMS559220-137195,RP9395838495239021,Flinn Cayley,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,12-11-2018,306
QMS354993-749532,RP8473041782000421,Erica Kipling,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,13-11-2018,601
QMS603551-379659,RP3545519213263911,Tedra Arpur,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,14-11-2018,373
QMS952169-471092,RP9317643375414931,Whit MacCleay,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,15-11-2018,378
QMS545274-394867,RP6151544040882441,Vasily Gigg,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,16-11-2018,804
QMS798385-109514,RP3022951844010251,Vail Swafield,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Resolved-Misdirect,17-11-2018,299
QMS954971-196203,RP7217494505027681,Leah O'Hdirscoll,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,18-11-2018,459
QMS212965-447263,RP5254751194149991,Wallas Decayette,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,Pending-Misdirect,19-11-2018,577
QMS527192-789762,RP6545808822282031,Evyn Lawty,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,20-11-2018,610
QMS348861-763657,RP5835921616141961,Tan Evangelinos,Sending Bank,FPS,Customer Error,1 - Incorrect A/C,Incorrect Name,New-Misdirect,21-11-2018,399
