FPS Payment data,,,,,,,,,,,,,,,,,,,,,,
MESSAGE_IDR,CREATION_TMP,TRANSACTION_REFERENCE_NUM,FPS_IDR,SETTLEMENT_AMT,SETTLEMENT_CURRENCY_CDE,PAYMENT_REQUEST_SENT_DTE,ORIGINATING_CR_INST_SRT_CDE,ORIGINATING_CUS_ACC_NUM,ORIGINATING_CUS_ACC_NME,BENEFICIARY_CR_INST_SRT_CDE,BENEFICIARY_CUS_ACC_NUM,BENEFICIARY_CUS_ACC_NME,BENEF_CUS_ACC_ADDNL_IDENT_REF,PAYMENT_TYPE_CDE,CREDIT_PAYMENT_METHOD_VAL,DEBIT_PAYMENT_METHOD_VAL,MESSAGE_STATUS_CDE,MESSAGE_DIRECTION_CDE,SUBMITTING_MEMBER_BANK_CDE,RECEIVING_MEMBER_BANK_CDE,SETTLEMENT_DTE,ORIGINATING_SYSTEM_CDE
RPS FPS 88026145153552,25-04-2018 00:00,RP5949663970396860,RP46880311879390679513678919768817790,912,GBP,25-04-2018,567690,30349222,Stevana Domleo,659851,75367374,AL-DULAYMIK M,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,25-04-2018,812
RPS FPS 97163835603586,14-11-2018 00:00,RP6520149678008600,RP46912582930804675115992241829297146,89,GBP,14-11-2018,816865,30351222,Bertram Rubega,403858,85160611,"K,M,MAL-DULAYMI",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,14-11-2018,812
RPS FPS 48438218858099,14-11-2018 00:00,RP6486052707557830,RP46831251449564444529982171348983261,330,GBP,14-11-2018,512601,30472222,Jaime Elion,315960,65525342,AL-DULAYMIK M M,INVOICES 22 +50,10,FPS,BOOK,COMPLETE,O,934,11,14-11-2018,603
RPS FPS 70071075213331,06-04-2018 00:00,RP2749317438834620,RP46826971515012721133085363988895384,648,GBP,06-04-2018,496605,30493222,Thaddus Killerby,511970,42463634,"KHALAF,MAL-DULAYMI",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,06-04-2018,612
RPS FPS 80315008986442,07-05-2018 00:00,RP5314809094980080,RP46890593278732438259188834949268661,241,GBP,07-05-2018,750283,30502222,Gordy Scyner,621142,82344226,AL-DULAYMIKHALAF M,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,07-05-2018,612
RPS FPS 22117869361257,17-03-2018 00:00,RP7043953542236870,RP46837991967510661387488318738794585,694,GBP,17-03-2018,258320,30533222,Marj Bilbie,792886,70241277,MAL-DULAYMI,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,17-03-2018,812
RPS FPS 27762144881351,03-06-2018 00:00,RP4457164082299400,RP46949163068918602407291206179336770,32,GBP,03-06-2018,494952,30600222,Cart Fevers,835312,86939179,AL-DULAYMIM,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,03-06-2018,812
RPS FPS 55199792842057,01-10-2018 00:00,RP4006744916466350,RP46860751142305713975190061548775960,992,GBP,01-10-2018,412986,30635222,Debra de Wilde,492322,67958459,AL-DULAYMIKHALAF,INVOICES 22 +51,10,FPS,BOOK,COMPLETE,O,934,11,01-10-2018,603
RPS FPS 22920472712475,21-02-2018 00:00,RP7615570768832530,RP46878752964357621462784319768849018,593,GBP,21-02-2018,617064,30649222,Bertine Dumbellow,573846,66572226,AL-DULAYMIKHALAF M.,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,21-02-2018,612
RPS FPS 89707403667756,04-11-2018 00:00,RP6011634667324530,RP46885513172241664889882210049305899,351,GBP,04-11-2018,308028,30654222,Jermaine Lubomirski,591327,56341845,AL-DULAYMIM.,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,04-11-2018,612
RPS FPS 68955112527448,26-03-2018 00:00,RP1478767168226490,RP46992022140319687755388227079000699,43,GBP,26-03-2018,315771,30688222,Eal Stronough,276336,37370274,"M.,KHALAFAL-DULAYMI",ABDO,10,FPS,BOOK,COMPLETE,O,934,13,26-03-2018,812
RPS FPS 28040976938253,15-05-2018 00:00,RP8790029707900010,RP46942442234048650020182559669245391,912,GBP,15-05-2018,661808,30719222,Ozzie Iacobetto,450553,70886418,"AZAM,A.R.ALSBHUA",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,15-05-2018,812
RPS FPS 36382064250129,27-12-2018 00:00,RP5796162845235320,RP46825881170651447070583878018864242,817,GBP,27-12-2018,574771,30721222,Cleveland Leithgoe,789936,36793046,AZAMALSBHUA,INVOICES 22 +51,10,FPS,BOOK,COMPLETE,O,934,11,27-12-2018,603
RPS FPS 57812336478544,05-05-2018 00:00,RP1908976500812870,RP46982792394786664038890793118913580,102,GBP,05-05-2018,619138,30739222,Catharina Durrad,257413,54461644,A.R.ALSBHUA,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,05-05-2018,612
RPS FPS 37191979819015,25-08-2018 00:00,RP3415411311852540,RP46986471732693477956178903019197505,695,GBP,25-08-2018,729735,30759222,Natasha Hakonsson,268282,34724207,AALSBHUA,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,25-08-2018,612
RPS FPS 39366325779784,22-02-2018 00:00,RP3309898613458460,RP46916183177298402599692755439141783,259,GBP,22-02-2018,585393,30782222,Robinetta Potteril,652204,44608417,ALSBHUAA,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,22-02-2018,812
RPS FPS 38226756053820,07-10-2018 00:00,RP1825029632568690,RP46891661129804408480584543998896171,776,GBP,07-10-2018,744525,30783222,Katerine Rillett,529991,69676207,"A,AALSBHUA",NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,07-10-2018,812
RPS FPS 87461151284318,15-01-2018 00:00,RP4593134534770590,RP46996922986418614668176356608995199,814,GBP,15-01-2018,527531,30818222,Petronella Brabyn,428379,45417253,ALSBHUAA A,INVOICES 22 +52,10,FPS,BOOK,COMPLETE,O,934,11,15-01-2018,603
RPS FPS 37997374177523,01-03-2018 00:00,RP8298832473417360,RP46935973248401717519479124658757096,858,GBP,01-03-2018,429122,30830222,Wandie O'Brogane,635596,79450725,"AZAM,AALSBHUA",EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,01-03-2018,612
RPS FPS 17468179686254,21-03-2018 00:00,RP9862528859148370,RP46815992684020668781686900899215400,741,GBP,21-03-2018,564684,30837222,Barney Rudgley,739887,73858517,ALSBHUAAZAM A,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,21-03-2018,612
RPS FPS 27529026115288,16-08-2018 00:00,RP4090178021218230,RP46863691927792760461983458148937806,920,GBP,16-08-2018,320712,30844222,Jonell Whear,853616,53252815,ALSBHUAAZAM,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,16-08-2018,812
RPS FPS 68058167573691,19-09-2018 00:00,RP2387543475779610,RP46913843365609640854086781059175750,407,GBP,19-09-2018,783941,30881222,Darrelle Hintzer,350513,75547583,ALSBHUAA.R.,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-09-2018,812
RPS FPS 22221619376526,14-03-2018 00:00,RP6313855231336660,RP46989733373059431161491944538798646,633,GBP,14-03-2018,757894,30887222,Derron Gommes,861761,59837869,"A.R.,AZAMALSBHUA",INVOICES 22 +52,10,FPS,BOOK,COMPLETE,O,934,11,14-03-2018,603
RPS FPS 55744835881295,10-12-2018 00:00,RP5408711903388480,RP46965702167922663232777788878949890,699,GBP,10-12-2018,870921,30945222,Wynne Haysham,609560,57419591,1728 34442052CTC,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,10-12-2018,612
RPS FPS 35801722723278,08-02-2018 00:00,RP7718454284135840,RP46804391260840445113284059489209625,832,GBP,08-02-2018,430664,30946222,Marcelia Padula,476135,80859976,5170 30571344CTC,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,08-02-2018,612
RPS FPS 23082892060536,09-09-2018 00:00,RP9500144506580040,RP46977921894432459336283977849018632,217,GBP,09-09-2018,362135,30982222,Maddie Davidy,727745,39325276,17284320CTC,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,09-09-2018,812
RPS FPS 91005441256144,15-12-2018 00:00,RP1330942197821060,RP46987393049099761574881085209095607,253,GBP,15-12-2018,504711,30986222,Gray Jans,652563,70355775,3769 09485931CTC,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,15-12-2018,812
RPS FPS 11466746481751,08-01-2018 00:00,RP4234802716568820,RP46832152931589409364979779358902719,571,GBP,08-01-2018,852303,31008222,Dermot Hexham,592565,44793296,1-P,INVOICES 22 +53,10,FPS,BOOK,COMPLETE,O,934,11,08-01-2018,603
RPS FPS 43187041488677,24-03-2018 00:00,RP5097123569769040,RP46842771350859620090884960099029993,911,GBP,24-03-2018,251664,31063222,Aldous Coaster,743164,51308433,AHMED THE TANZANIANWEAK,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,24-03-2018,612
RPS FPS 78301774511734,02-09-2018 00:00,RP2640387114690790,RP46946431336077468619884925379133829,904,GBP,02-09-2018,418718,31118222,Kermie Jannequin,602613,38254381,BASHIR,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,02-09-2018,612
RPS FPS 22313667177939,08-02-2018 00:00,RP8836183483366170,RP46958443070243556257380338488903706,94,GBP,08-02-2018,685024,31120222,Joan Seif,436860,45184110,CAESAR,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,08-02-2018,812
RPS FPS 57019668216512,21-12-2018 00:00,RP4175545214885640,RP46865623243933486753278232869300900,482,GBP,21-12-2018,694754,31122222,Parke Ferryman,440684,65907494,CHIEF KAHWAWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,21-12-2018,812
RPS FPS 34619482202524,27-11-2018 00:00,RP9307403426049790,RP46895272587682763037978070449215670,124,GBP,27-11-2018,786457,31128222,Granny Coffelt,267732,82121625,FOOPIEWEAK,INVOICES 22 +53,10,FPS,BOOK,COMPLETE,O,934,11,27-11-2018,603
RPS FPS 13137784244671,23-03-2018 00:00,RP1898945924763450,RP46849991351195716231380464569077624,671,GBP,23-03-2018,374850,31133222,Lenette Whicher,388849,50369850,FUPIWEAK,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,23-03-2018,612
RPS FPS 13515351422017,01-06-2018 00:00,RP5930543512006700,RP46993062717359483080393074929064838,138,GBP,01-06-2018,746310,31169222,Tracie Brockest,450436,87104028,KAWAWEAK,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,01-06-2018,612
RPS FPS 82381068669460,11-07-2018 00:00,RP6728296188397100,RP46929173426623431373192420679156701,826,GBP,11-07-2018,495016,31174222,Avril Founds,846074,73485022,ONE-P,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,11-07-2018,812
RPS FPS 23808104725249,13-07-2018 00:00,RP3940548573821060,RP46899282966751447430582166039204487,338,GBP,13-07-2018,364757,31205222,Olly Hubbuck,779859,50730471,TEK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,13-07-2018,812
RPS FPS 22079301366474,18-08-2018 00:00,RP9965357757711600,RP46853061277277687981793312199020599,623,GBP,18-08-2018,793736,31259222,Alvera Mowen,367179,37135138,THE BUTCHER OF PAOUAWEAK,INVOICES 22 +54,10,FPS,BOOK,COMPLETE,O,934,11,18-08-2018,603
RPS FPS 23898545395204,24-01-2018 00:00,RP4129475895974400,RP46936222219193381862776622568774293,596,GBP,24-01-2018,270336,31274222,Job Burchatt,393241,68239017,ABD AL-HAQ,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,24-01-2018,612
RPS FPS 44255757750634,14-02-2018 00:00,RP6172886842249490,RP46800042851760679947888440349238341,878,GBP,14-02-2018,448382,31275222,Una Spino,420007,39370490,ABD AL-MUHSIWEAK,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,14-02-2018,612
RPS FPS 72257636684749,08-12-2018 00:00,RP8284471601483750,RP46822343176085612318484097728746317,901,GBP,08-12-2018,765228,31287222,Stanton Rawkesby,405088,81644876,ABD AL-RAHMANWEAK,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,08-12-2018,812
RPS FPS 11453264263853,18-01-2018 00:00,RP4960173024026840,RP46892621798461495862579237268783498,563,GBP,18-01-2018,690946,31305222,Tobiah Mortimer,407999,81252734,ABD-AL-'IZWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,18-01-2018,812
RPS FPS 17195437347069,11-04-2018 00:00,RP2267140735252230,RP46915322184993492852682639398873774,651,GBP,11-04-2018,791160,31308222,Howie Boanas,242140,68491385,ABDUL-GHANIWEAK,INVOICES 22 +54,10,FPS,BOOK,COMPLETE,O,934,11,11-04-2018,603
RPS FPS 44708327379229,03-10-2018 00:00,RP6467300664587430,RP46942212787040714615384365309071023,106,GBP,03-10-2018,584622,31348222,Filberto Scrivener,782423,84228813,CHAIRMAN',EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,03-10-2018,612
RPS FPS 47097511981256,04-03-2018 00:00,RP8020008022176110,RP46983881209415604228980665488748060,311,GBP,04-03-2018,474737,31351222,Kristoforo Dady,277845,59980361,PAPA SIX',TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,04-03-2018,612
RPS FPS 62538674648316,18-06-2018 00:00,RP3287061265060500,RP46973682102398596088679663659022700,887,GBP,18-06-2018,466789,31398222,Tonie Charnock,407148,78966552,07WEAK,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,18-06-2018,812
RPS FPS 77994241472264,19-04-2018 00:00,RP8842379785887940,RP46853943438487593729185406729108635,782,GBP,19-04-2018,375367,31459222,Corabel Trayhorn,751030,82783033,1-PWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-04-2018,812
RPS FPS 86252057496783,18-03-2018 00:00,RP5499830633272600,RP46823181974370684626983180439052735,296,GBP,18-03-2018,471488,31488222,Filberto Doolan,569357,59755653,AA,INVOICES 22 +55,10,FPS,BOOK,COMPLETE,O,934,11,18-03-2018,603
RPS FPS 42135744426036,11-10-2018 00:00,RP7177017612866200,RP46980831494405633137190380459317570,37,GBP,11-10-2018,320358,31495222,Leesa Scatcher,571591,36740167,AB-BILAL,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,11-10-2018,612
RPS FPS 15199633773735,21-08-2018 00:00,RP4067572180113220,RP46991293313451751166886910069204187,799,GBP,21-08-2018,467773,31539222,Myranda Gilling,566304,85466211,DRABBASIWEAK,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,21-08-2018,612
RPS FPS 16474466328646,05-02-2018 00:00,RP6457712436638640,RP46928102810061563214989841468889630,570,GBP,05-02-2018,854229,31570222,Muffin Maysor,269800,34697852,ABD AL HADIWEAK,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,05-02-2018,812
RPS FPS 10849174504743,20-10-2018 00:00,RP8500556470762960,RP46871392781729408147477527108828462,142,GBP,20-10-2018,325928,31581222,Leyla Belmont,867784,73408080,ABD AL-HADI,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,20-10-2018,812
RPS FPS 14404675709989,15-11-2018 00:00,RP2241929055184840,RP46851372188112394376792762238795773,84,GBP,15-11-2018,833661,31596222,Margery Marshfield,861689,83899988,ABD AL-MUHAYMAN,INVOICES 22 +55,10,FPS,BOOK,COMPLETE,O,934,11,15-11-2018,603
RPS FPS 77396711342976,09-04-2018 00:00,RP9710375777226140,RP46862951789204575085077798399082728,695,GBP,09-04-2018,344769,31708222,Carrol Belfrage,730975,72965061,ABD AL-MUHSI,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,09-04-2018,612
RPS FPS 81613830428834,19-09-2018 00:00,RP4615389985536420,RP46882421183705372792878431509214533,996,GBP,19-09-2018,381993,31754222,Pail Flahy,570784,36749548,ABD AL-MUHSIN,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,19-09-2018,612
RPS FPS 35181672002874,20-12-2018 00:00,RP5200633731594000,RP46841971812229447328990328199181317,920,GBP,20-12-2018,681023,31808222,Shelton Filipson,261286,68927721,ABD AL-RAHMAN,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,20-12-2018,812
RPS FPS 78347637411924,19-02-2018 00:00,RP1637695396998050,RP46905962508996511563390456329342268,918,GBP,19-02-2018,362581,31817222,Karlee Adamovsky,523538,42792493,ABD ALLAH,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-02-2018,812
RPS FPS 32963306057123,18-10-2018 00:00,RP5900350164590490,RP46870923142060620540782790359137413,782,GBP,18-10-2018,790432,31833222,Shelia Finkle,742922,74329347,ABD EL ILLAH,INVOICES 22 +56,10,FPS,BOOK,COMPLETE,O,934,11,18-10-2018,603
RPS FPS 65960565377227,09-04-2018 00:00,RP3481687847716200,RP46927773024879595329587167829019026,316,GBP,09-04-2018,462107,31871222,Chloe Woodyer,554705,67690349,ABD UR-REHMAN,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,09-04-2018,612
RPS FPS 58333162131984,24-02-2018 00:00,RP8464884352550800,RP46818241425106754400188212079255549,371,GBP,24-02-2018,842318,31886222,Wendall Vearnals,824858,43747392,ABD'RABBAHWEAK,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,24-02-2018,612
RPS FPS 20263341757069,21-12-2018 00:00,RP6517508061842790,RP46986901580060614295676645498927702,188,GBP,21-12-2018,796596,31905222,Moise Steutly,677492,83677970,ABDALARAK,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,21-12-2018,812
RPS FPS 73594995052921,23-01-2018 00:00,RP8473194767074800,RP46844152012946681961383446278895299,162,GBP,23-01-2018,861071,31925222,Vasily Chesterman,289503,61943716,ABDALLAWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,23-01-2018,812
RPS FPS 42319647035064,01-12-2018 00:00,RP7382195308329460,RP46986443405273705823978549139054851,739,GBP,01-12-2018,462165,31937222,Alyce Cumber,480283,56443709,ABDALLAH,INVOICES 22 +56,10,FPS,BOOK,COMPLETE,O,934,11,01-12-2018,603
RPS FPS 14856367725102,25-07-2018 00:00,RP7075183206401800,RP46966891505005589352282485469287488,540,GBP,25-07-2018,619195,31947222,Onofredo Gravatt,656878,56320635,ABDEL HAKWEAK,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,25-07-2018,612
RPS FPS 96126198326194,27-07-2018 00:00,RP7137425337186410,RP46825583094171640608081704629052912,726,GBP,27-07-2018,807412,31986222,Brigitta Rawlyns,380051,43956014,ABDEL KHADER,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,27-07-2018,612
RPS FPS 49360505057463,25-07-2018 00:00,RP2344627517790580,RP46972842175861447766291568608854825,676,GBP,25-07-2018,653566,32031222,Mab Stollberg,684334,62702789,ABDELBAKIWEAK,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,25-07-2018,812
RPS FPS 61793399861297,03-02-2018 00:00,RP2085258277646940,RP46956952075204466168683403928750767,62,GBP,03-02-2018,555318,32045222,Colleen Gorring,767439,78273262,ABDELLAHWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,03-02-2018,812
RPS FPS 12390691529841,05-07-2018 00:00,RP8275625994864030,RP46901102125854532117781533808802574,676,GBP,05-07-2018,527261,32061222,Iris Subhan,800152,83402113,ABDELLILLAH,INVOICES 22 +57,10,FPS,BOOK,COMPLETE,O,934,11,05-07-2018,603
RPS FPS 31458830700488,23-10-2018 00:00,RP5281485202233340,RP46815072706785642298586989179203823,782,GBP,23-10-2018,277852,32070222,Cirstoforo Brandenberg,341415,87152518,ABDELRAHMAN,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,23-10-2018,612
RPS FPS 62655902768724,05-10-2018 00:00,RP6632647781022950,RP46990712393594467585586374968953359,701,GBP,05-10-2018,767044,32108222,Justinian Wellen,837642,79059681,ABDELRAHMMAN,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,05-10-2018,612
RPS FPS 14446660462779,23-06-2018 00:00,RP1860135174938290,RP46957903383369722749480023209352245,940,GBP,23-06-2018,413467,32170222,Ealasaid Levi,555515,76632029,ABDERAHMANE,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,23-06-2018,812
RPS FPS 16737358636481,17-05-2018 00:00,RP9472259143393980,RP46891173299285652022691558188969773,11,GBP,17-05-2018,851308,32177222,Art Kolczynski,539964,59061793,ABDERRAHMANEWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,17-05-2018,812
RPS FPS 56114025096241,06-10-2018 00:00,RP1337564258608760,RP46918602611079550271882046318758739,203,GBP,06-10-2018,263107,32221222,Farr Crews,446083,72517925,ABDUKAHLIL,INVOICES 22 +57,10,FPS,BOOK,COMPLETE,O,934,11,06-10-2018,603
RPS FPS 28512152595133,23-06-2018 00:00,RP8374652673745890,RP46998751249835367095589628079116509,526,GBP,23-06-2018,523007,32227222,Karly Hitchens,849187,79651340,ABDUL ABDILLAH,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,23-06-2018,612
RPS FPS 42329673680570,13-10-2018 00:00,RP2692967434985630,RP46947951653801650746190959309118666,220,GBP,13-10-2018,420250,32229222,Gerianna Prebble,537273,41263995,ABDUL AZIZ,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,13-10-2018,612
RPS FPS 11711837607196,06-06-2018 00:00,RP8168741679610250,RP46886481720797652353485781868950324,385,GBP,06-06-2018,495047,32269222,Ancell Duggen,301154,63770494,ABDUL BAQI,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,06-06-2018,812
RPS FPS 89794646301971,08-10-2018 00:00,RP8630916030952210,RP46808411398571650861479674649312037,941,GBP,08-10-2018,748180,32279222,Curry Ivy,759036,81177728,HAJIABDUL BASEER,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,08-10-2018,812
RPS FPS 16271171021549,15-06-2018 00:00,RP2894505549730950,RP46970621899090742683384959059266758,37,GBP,15-06-2018,435064,32340222,Sayre Gilogly,640213,69652803,HAJIABDUL BASIR,INVOICES 22 +58,10,FPS,BOOK,COMPLETE,O,934,11,15-06-2018,603
RPS FPS 26360542928432,18-06-2018 00:00,RP6439051268155960,RP46926162429414630641183798279041439,232,GBP,18-06-2018,582746,32423222,Erik Garriock,850966,63102338,ABDUL HABIB,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,18-06-2018,612
RPS FPS 66969049056565,23-10-2018 00:00,RP6027976581956720,RP46893963371559635068779693309315448,500,GBP,23-10-2018,507576,32477222,Lilla Amar,569079,73874516,ABDUL HADI,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,23-10-2018,612
RPS FPS 76641100058971,05-05-2018 00:00,RP8987519662021380,RP46901901542206559604377476809096202,723,GBP,05-05-2018,681430,32497222,Loise Searson,733570,77612012,ABDUL HAQ,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,05-05-2018,812
RPS FPS 46885846002158,27-09-2018 00:00,RP9400445508702380,RP46975042812508371792090455148822726,546,GBP,27-09-2018,398807,32509222,Ryon Wilson,709706,40335022,ABDUL HEQ,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,27-09-2018,812
RPS FPS 40994001210338,26-05-2018 00:00,RP7095313419307530,RP46998523063205589085090922819349137,974,GBP,26-05-2018,448316,32516222,Myron Fidelus,721340,54661416,ABDUL KARIM,INVOICES 22 +58,10,FPS,BOOK,COMPLETE,O,934,11,26-05-2018,603
RPS FPS 49950807230326,05-01-2018 00:00,RP6660559477923980,RP46894843298158731004682870749164848,163,GBP,05-01-2018,694403,32519222,Alexio Pescod,620913,83696502,ABDUL KHALIL,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,05-01-2018,612
RPS FPS 85266449345308,11-03-2018 00:00,RP4634831259914010,RP46918192250885364992080526709200427,36,GBP,11-03-2018,808144,32532222,Arnold Cleever,861660,53949908,ABDUL MANAN,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,11-03-2018,612
RPS FPS 59374005200923,07-04-2018 00:00,RP7253692754813380,RP46972431119903745905591378028811744,547,GBP,07-04-2018,726144,32537222,Hansiain Dupree,346934,51615497,ABDUL MUJIB,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,07-04-2018,812
RPS FPS 66476793697011,19-05-2018 00:00,RP8525787221847090,RP46931893340616760797193133558959556,775,GBP,19-05-2018,569691,32538222,Shayne Jaquiss,782352,65669890,ABDUL MUTHANAWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,19-05-2018,812
RPS FPS 28615843683529,01-03-2018 00:00,RP9067443419946580,RP46983482065130517534385944249327993,206,GBP,01-03-2018,461160,32540222,Meagan Bausmann,687207,74473774,ABDUL QADIR,INVOICES 22 +59,10,FPS,BOOK,COMPLETE,O,934,11,01-03-2018,603
RPS FPS 29873625706128,23-09-2018 00:00,RP9186983974775480,RP46937252476179531920180144048973504,89,GBP,23-09-2018,425583,32541222,Connor Revie,690716,66645819,ABDUL RAHMAN,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,23-09-2018,612
RPS FPS 15237316451155,14-08-2018 00:00,RP5887809764294250,RP46850992981069716972591909809265416,818,GBP,14-08-2018,790233,32542222,Faydra Legion,547123,55860372,ABDUL REHMAN,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,14-08-2018,612
RPS FPS 90075580953279,03-09-2018 00:00,RP5180314340052950,RP46934012764766560538482847358854756,407,GBP,03-09-2018,443659,32545222,Brennan Singh,555002,69348509,ABDUL SAIMAITI,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,03-09-2018,812
RPS FPS 91330887547049,16-07-2018 00:00,RP1279266478696410,RP46809912741287549450477871669195020,758,GBP,16-07-2018,432479,32563222,Solly Wapol,354600,48375097,ABDUL SALAM,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,16-07-2018,812
RPS FPS 42848436783884,20-01-2018 00:00,RP9110568804452660,RP46978111797376753746688208608992132,434,GBP,20-01-2018,238114,32568222,Merola Nowick,430877,71320887,ABDUL SAMAD,INVOICES 22 +59,10,FPS,BOOK,COMPLETE,O,934,11,20-01-2018,603
RPS FPS 23421589151627,26-03-2018 00:00,RP1049430938323420,RP46899131212924717168089520769266338,120,GBP,26-03-2018,808736,32570222,Freddie Fucher,261375,34666641,ABDUL-GHANI,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,26-03-2018,612
RPS FPS 20011515631611,17-10-2018 00:00,RP4537557586832320,RP46947762840977628614477944649243566,359,GBP,17-10-2018,738608,32575222,Adler Philliskirk,473793,81609927,ABDULASATTARSTRONG,TRAINING,10,FPS,BOOK,COMPLETE,O,934,4,17-10-2018,612
RPS FPS 88286702144245,07-12-2018 00:00,RP9004491811267700,RP46803863450650503892888357388974564,661,GBP,07-12-2018,750205,32578222,Boycey Moulds,283279,45852889,ABDULLAH THE TURKWEAK,ABDO,10,FPS,BOOK,COMPLETE,O,934,13,07-12-2018,812
RPS FPS 27512968720471,04-10-2018 00:00,RP2582821974317210,RP46825721177120496962892757569233111,955,GBP,04-10-2018,408779,32583222,Amandie Plak,783850,46623936,ABDULLAHWEAK,NUMAAN,10,FPS,BOOK,COMPLETE,O,934,932,04-10-2018,812
RPS FPS 97298032363470,06-11-2018 00:00,RP6539679141678470,RP46963121785652516745993345249173413,461,GBP,06-11-2018,476687,32595222,Nedda Snookes,453234,78200955,ABDUR RAHMAN,INVOICES 22 +60,10,FPS,BOOK,COMPLETE,O,934,11,06-11-2018,603
RPS FPS 81320611645160,10-02-2018 00:00,RP3132297588144810,RP46869521350800724201278992439191868,765,GBP,10-02-2018,290930,32615222,Collie Bewley,801700,57690608,ABDUR REHMAN,EMER  IRONING,10,FPS,BOOK,COMPLETE,O,934,11,10-02-2018,612
